time, x0, y0, z0, x1, y1, z1 
0.29200, -0.84230, -0.16579, 1.57835, -0.08060, 0.22272, 1.35077  
0.29300, -0.86933, -0.10902, 1.57669, -0.04665, 0.29722, 1.35340  
0.29400, -0.88945, -0.05419, 1.56343, -0.05362, 0.27521, 1.36608  
0.29500, -0.94616, -0.15768, 1.59599, -0.07223, 0.24321, 1.35931  
0.29600, -0.91543, -0.14696, 1.60265, -0.11234, 0.25764, 1.38193  
0.29700, -0.86105, -0.04892, 1.58495, -0.06887, 0.29766, 1.35569  
0.29800, -0.88348, -0.06079, 1.59014, -0.14149, 0.25139, 1.32008  
0.29900, -0.92888, -0.07452, 1.61785, -0.11486, 0.23037, 1.31634  
0.30000, -0.90191, 0.01011, 1.65855, -0.10868, 0.25127, 1.29997  
0.30100, -0.86063, 0.03941, 1.65857, -0.10756, 0.25328, 1.33707  
0.30200, -0.91551, 0.01057, 1.71774, -0.11818, 0.25557, 1.25921  
0.30300, -0.85014, 0.00153, 1.70227, -0.07883, 0.28425, 1.26116  
0.30400, -0.89642, 0.05337, 1.70012, -0.10900, 0.24654, 1.28450  
0.30500, -0.88154, 0.03437, 1.71854, -0.11337, 0.25913, 1.27560  
0.30600, -0.89121, 0.01068, 1.76353, -0.10048, 0.20256, 1.23196  
0.30700, -0.90767, 0.01173, 1.77492, -0.07639, 0.25406, 1.32202  
0.30800, -0.90441, 0.05144, 1.77101, -0.22589, 0.19009, 1.20501  
0.30900, -0.83403, -0.03204, 1.78701, -0.10780, 0.16758, 1.23995  
0.31000, -0.92695, -0.01102, 1.84235, -0.09466, 0.21420, 1.25704  
0.31100, -0.85995, 0.03040, 1.80786, -0.11244, 0.18446, 1.23020  
0.31200, -0.90952, -0.00818, 1.84099, -0.12094, 0.20174, 1.19354  
0.31300, -0.84673, -0.08024, 1.82024, -0.09563, 0.22375, 1.20363  
0.31400, -0.89046, -0.01455, 1.82348, -0.09476, 0.21187, 1.19261  
0.31500, -0.89680, 0.01808, 1.85238, -0.11494, 0.19352, 1.20123  
0.31600, -0.84280, -0.02396, 1.87010, -0.11824, 0.17668, 1.18013  
0.31700, -0.85546, -0.01211, 1.88133, -0.10176, 0.20029, 1.16316  
0.31800, -0.81110, 0.01562, 1.86050, -0.11896, 0.19308, 1.17178  
0.31900, -0.85114, 0.04036, 1.87222, -0.11518, 0.17735, 1.15740  
0.32000, -0.84274, 0.06065, 1.84841, -0.06420, 0.17776, 1.18118  
0.32100, -0.83187, 0.04274, 1.85156, -0.08858, 0.17881, 1.14269  
0.32200, -0.77904, 0.01535, 1.82661, -0.05980, 0.19285, 1.15284  
0.32300, -0.78583, 0.13060, 1.80166, -0.10160, 0.16222, 1.13085  
0.32400, -0.79876, 0.16611, 1.77456, -0.06762, 0.15024, 1.13256  
0.32500, -0.80238, 0.06742, 1.78782, -0.06353, 0.17103, 1.13163  
0.32600, -0.70688, -0.03304, 1.77948, -0.01968, 0.12989, 1.13750  
0.32700, -0.76454, 0.09504, 1.75587, -0.05692, 0.15770, 1.12196  
0.32800, -0.70154, 0.19405, 1.65688, -0.03139, 0.14166, 1.12514  
0.32900, -0.71714, 0.11444, 1.59702, 0.02575, 0.13010, 1.09837  
